Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
BK,Bank of New York Mellon,3,55,36,9,103,-10,6,30,4,30,133
NVR,"NVR, Inc.",-36,-10,80,52,86,2,-2,29,16,45,131
BG,Bunge Global SA,36,12,4,42,94,27,5,13,-9,36,130
PNC,PNC Financial Services,41,2,31,0,74,40,7,29,-20,56,130
MS,Morgan Stanley,34,6,13,9,62,34,5,28,1,68,130
UNH,UnitedHealth Group,-10,0,-2,163,151,-23,4,4,-6,-21,130
ODFL,Old Dominion,0,-52,-8,174,114,-7,7,-5,19,14,128
PHM,PulteGroup,-67,-14,80,52,51,3,-25,83,16,77,128
ADBE,Adobe Inc.,106,13,0,2,121,-2,16,-15,7,6,127
LMT,Lockheed Martin,-26,0,16,137,127,-27,11,13,1,-2,125
AZO,AutoZone,-34,-6,37,73,70,-3,14,-1,44,54,124
MO,Altria,14,86,10,-2,108,8,5,18,-18,13,121
CMG,Chipotle Mexican Grill,-48,-2,70,67,87,-10,-5,31,16,32,119
FCX,Freeport-McMoRan,20,0,18,45,83,18,-24,26,13,33,116
AME,Ametek,-57,-10,89,93,115,-4,-9,-5,17,-1,114
PKG,Packaging Corporation of America,-48,-1,51,47,49,4,-2,50,12,64,113
AIG,American International Group,4,-17,46,36,69,2,-23,54,8,41,110
AMGN,Amgen,-22,45,44,13,80,8,8,3,10,29,109
EXPD,Expeditors International,-37,26,0,117,106,-10,-1,2,12,3,109
QRVO,Qorvo,41,18,7,-18,48,36,20,2,3,61,109
F,Ford Motor Company,51,3,3,-7,50,79,7,-5,-22,59,109
ABBV,AbbVie,-27,0,32,45,50,2,18,-6,44,58,108
RL,Ralph Lauren Corporation,2,2,37,21,62,6,-5,31,13,45,107
PM,Philip Morris International,15,55,11,9,90,8,2,4,1,15,105
EA,Electronic Arts,0,24,37,9,70,5,32,-11,8,34,104
STZ,Constellation Brands,-10,0,19,45,54,-4,15,-5,44,50,104
PRU,Prudential Financial,2,2,35,14,53,-11,7,49,5,50,103
MCD,McDonald's,-38,-81,-8,229,102,-1,-33,-11,44,-1,101
NRG,NRG Energy,0,0,40,14,54,1,-17,55,8,47,101
CB,Chubb Limited,-55,-7,44,45,27,-3,-11,46,42,74,101
ADSK,Autodesk,0,11,6,0,17,56,32,-11,6,83,100
FFIV,"F5, Inc.",54,0,37,0,91,8,7,-10,4,9,100
LHX,L3Harris,10,44,12,0,66,8,11,32,-19,32,98
MAR,Marriott International,-34,0,66,42,74,-1,15,-4,13,23,97
UHS,Universal Health Services,-41,41,35,9,44,-32,44,28,13,53,97
TSCO,Tractor Supply,-67,-4,26,72,27,-29,-5,28,72,66,93
CHD,Church & Dwight,0,-1,36,22,57,-1,-5,28,12,34,91
ANSS,Ansys,23,0,30,2,55,25,5,-5,10,35,90
AVB,AvalonBay Communities,-20,57,19,0,56,5,19,26,-19,31,87
MGM,MGM Resorts,7,2,4,42,55,7,18,-6,13,32,87
DE,John Deere,-38,-31,-8,95,18,-31,-6,12,93,68,86
KMB,Kimberly-Clark,4,26,7,2,39,8,19,18,2,47,86
JBL,Jabil,0,-13,0,52,39,18,-5,-10,44,47,86
MET,MetLife,-18,-9,34,44,51,-17,-1,46,5,33,84
MNST,Monster Beverage,0,-64,-8,167,95,8,-30,-9,20,-11,84
RTX,RTX Corporation,0,0,18,41,59,10,-16,25,1,20,79
PEP,PepsiCo,-40,-21,-5,161,95,-2,-26,17,-6,-17,78
ALL,Allstate,0,-25,39,45,59,4,-31,40,4,17,76
CPAY,Corpay,17,-41,64,8,48,15,6,-6,12,27,75
PLD,Prologis,37,0,-13,-4,20,46,19,-11,1,55,75
HON,Honeywell,-20,27,10,9,26,-1,41,6,2,48,74
BLK,BlackRock,3,1,35,9,48,19,8,-7,5,25,73
TRV,Travelers Companies (The),0,-25,34,44,53,8,-29,-3,43,19,72
GM,General Motors,0,26,24,1,51,-1,19,25,-22,21,72
CRM,Salesforce,0,0,59,9,68,-3,5,-7,8,3,71
ULTA,Ulta Beauty,13,0,-15,45,43,10,-17,-9,43,27,70
UDR,"UDR, Inc.",-4,54,11,-12,49,-3,19,24,-19,21,70
KR,Kroger,17,-23,22,52,68,35,-58,22,2,1,69
REG,Regency Centers,4,27,0,0,31,-11,47,1,1,38,69
CINF,Cincinnati Financial,1,1,4,45,51,-17,7,26,2,18,69
DFS,Discover Financial,1,7,23,8,39,-11,14,26,1,30,69
HOLX,Hologic,48,-37,0,52,63,8,4,-2,-6,4,67
CHRW,CH Robinson,-19,46,0,0,27,3,47,4,-15,39,66
VMC,Vulcan Materials Company,-35,-25,63,47,50,-2,-28,29,14,13,63
VLO,Valero Energy,-10,-28,31,29,22,-17,3,19,36,41,63
EQR,Equity Residential,-19,55,12,-12,36,5,17,24,-19,27,63
BX,Blackstone,-17,-9,37,73,84,-32,10,-5,6,-21,63
WTW,Willis Towers Watson,-10,0,37,10,37,-3,26,-5,7,25,62
CTLT,Catalent,22,8,15,-21,24,17,17,26,-23,37,61
GEN,Gen Digital,-3,40,34,0,71,-21,2,29,-20,-10,61
DD,DuPont,-38,47,18,6,33,4,-5,15,13,27,60
XOM,ExxonMobil,-9,-9,18,29,29,-25,5,16,35,31,60
XYL,Xylem Inc.,0,-6,33,8,35,10,-20,28,7,25,60
ZBRA,Zebra Technologies,32,5,12,-12,37,19,2,25,-23,23,60
HPQ,HP Inc.,0,40,10,3,53,6,-7,3,2,4,57
MLM,Martin Marietta Materials,-34,-28,63,47,48,-1,-34,29,14,8,56
J,Jacobs Solutions,-37,-43,33,93,46,6,-1,-1,6,10,56
CSX,CSX,-3,-67,37,101,68,-16,6,-9,7,-12,56
EW,Edwards Lifesciences,3,12,22,0,37,11,6,24,-22,19,56
GD,General Dynamics,-48,-5,40,40,27,-59,-2,47,42,28,55
HES,Hess Corporation,-10,-25,3,41,9,-10,-1,15,42,46,55
RJF,Raymond James,-17,-25,35,45,38,-25,6,29,6,16,54
MRO,Marathon Oil,-10,13,7,31,41,-18,21,15,-5,13,54
MDLZ,Mondelez International,-3,-29,-5,67,30,-2,-29,-13,66,22,52
STLD,Steel Dynamics,-17,-34,35,42,26,-17,2,-3,44,26,52
JCI,Johnson Controls,1,0,18,5,24,15,-14,23,4,28,52
MMM,3M,-19,81,13,-36,39,-1,12,28,-27,12,51
CBRE,CBRE Group,1,-10,35,9,35,9,10,-5,1,15,50
ON,ON Semiconductor,27,5,-27,50,55,43,-9,-38,-2,-6,49
LNT,Alliant Energy,28,3,4,0,35,19,5,5,-15,14,49
OMC,Omnicom Group,2,-22,19,22,21,8,-28,26,18,24,45
WFC,Wells Fargo,4,0,35,9,48,-12,-28,31,5,-4,44
FITB,Fifth Third Bank,-3,-3,32,0,26,-11,-1,29,1,18,44
FDX,FedEx,0,9,3,9,21,1,7,3,11,22,43
IP,International Paper,-48,43,11,-2,4,-10,-2,48,2,38,42
ADP,Automatic Data Processing,-55,-9,24,166,126,-55,-16,-2,-11,-84,42
DUK,Duke Energy,8,0,16,5,29,14,-14,32,-19,13,42
PSA,Public Storage,1,17,5,0,23,20,14,2,-18,18,41
CDW,CDW,-61,-10,55,56,40,-32,-6,-6,44,0,40
CMI,Cummins,-34,-9,25,9,-9,2,7,24,16,49,40
EXR,Extra Space Storage,-3,26,11,0,34,-1,19,2,-15,5,39
AIZ,Assurant,-40,-37,37,138,98,-27,-33,-6,6,-60,38
FE,FirstEnergy,2,0,13,0,15,14,-24,31,1,22,37
DPZ,Domino's,-55,-1,37,8,-11,-1,-6,50,5,48,37
EG,Everest Re,-27,-5,-2,42,8,2,-19,6,40,29,37
PCG,PG&E Corporation,0,-6,15,0,9,8,-17,9,27,27,36
EIX,Edison International,0,0,16,9,25,-2,-16,13,16,11,36
PAYX,Paychex,-55,-9,-1,137,72,-25,-2,6,-15,-36,36
PCAR,Paccar,-63,-48,91,52,32,3,-13,-3,16,3,35
SCHW,Charles Schwab Corporation,2,0,20,6,28,-11,6,29,-18,6,34
EOG,EOG Resources,0,-25,3,31,9,-16,6,-1,36,25,34
NDSN,Nordson Corporation,-34,-33,-6,102,29,-2,-1,-1,8,4,33
BKR,Baker Hughes,-3,13,3,9,22,-20,6,10,13,9,31
SPG,Simon Property Group,-19,0,37,9,27,-26,-9,32,6,3,30
DHI,DR Horton,-61,-36,83,52,38,8,-28,-6,17,-9,29
GNRC,Generac,26,0,15,-21,20,26,-19,26,-24,9,29
FSLR,First Solar,-98,0,11,49,-38,14,-7,16,44,67,29
PSX,Phillips 66,-13,-48,53,22,14,-17,5,-5,31,14,28
CCL,Carnival,0,14,20,-55,-21,5,35,3,6,49,28
AOS,A. O. Smith,-55,-29,66,22,4,5,-28,35,11,23,27
CPB,Campbell Soup Company,0,1,0,0,1,-3,8,31,-10,26,27
CPT,Camden Property Trust,-25,54,6,-11,24,-18,19,20,-19,2,26
TXT,Textron,-38,-38,51,40,15,2,-2,-3,13,10,25
EFX,Equifax,0,0,34,3,37,-1,-9,-8,5,-13,24
CFG,Citizens Financial Group,3,2,12,0,17,-11,7,29,-20,5,22
EXPE,Expedia Group,3,2,0,0,5,8,19,-11,1,17,22
INTC,Intel,23,0,-12,-28,-17,41,6,-14,6,39,22
FTNT,Fortinet,47,-51,0,99,95,-8,-57,-5,-4,-74,21
NI,NiSource,2,2,16,10,30,-33,7,31,-15,-10,20
MTB,M&T Bank,0,0,13,3,16,-17,7,29,-15,4,20
SWKS,Skyworks Solutions,0,18,4,-17,5,6,17,-11,2,14,19
DOC,Healthpeak,29,7,0,-26,10,34,-9,9,-25,9,19
NEM,Newmont,20,5,0,-18,7,13,6,11,-19,11,18
COP,ConocoPhillips,-10,-34,0,35,-9,-10,3,-4,38,27,18
BBY,Best Buy,0,27,7,-17,17,10,-2,-8,1,1,18
HUM,Humana,0,37,-32,0,5,7,38,-27,-7,11,16
TPR,"Tapestry, Inc.",1,0,23,8,32,4,-13,1,-9,-17,15
PFG,Principal Financial Group,3,-25,1,42,21,3,5,-5,-9,-6,15
CI,Cigna,-45,-31,31,45,0,2,-56,23,44,13,13
NEE,NextEra Energy,2,0,11,0,13,14,-17,17,-15,-1,12
DOV,Dover Corporation,-34,-6,31,9,0,-1,-20,28,5,12,12
MSCI,MSCI,22,0,-8,0,14,21,-19,-12,7,-3,11
FTV,Fortive,-3,-52,35,19,-1,-1,3,-5,13,10,9
PNW,Pinnacle West,8,1,0,0,9,8,-17,11,-2,0,9
AMT,American Tower,1,27,0,-12,16,12,-1,1,-22,-10,6
FRT,Federal Realty,29,0,7,-3,33,-4,-2,-2,-19,-27,6
IFF,International Flavors & Fragrances,10,5,10,-24,1,15,-16,28,-23,4,5
PNR,Pentair,-62,-22,59,9,-16,7,-25,29,10,21,5
CNP,CenterPoint Energy,-61,55,13,29,36,-25,-1,4,-10,-32,4
ZTS,Zoetis,-2,12,-1,0,9,-2,-11,1,5,-7,2
PODD,Insulet Corporation,-32,25,-2,-1,-10,1,29,-12,-6,12,2
APD,Air Products and Chemicals,0,2,-5,0,-3,10,-8,9,-6,5,2
ADM,Archer-Daniels-Midland,12,5,-48,0,-31,34,6,2,-10,32,1
NTRS,Northern Trust,1,0,12,-16,-3,-11,8,29,-22,4,1
CAH,Cardinal Health,-55,-8,0,24,-39,6,-1,-9,44,40,1
BA,Boeing,6,8,-15,-7,-8,10,2,-19,13,6,-2
COF,Capital One,-8,-19,35,8,16,-15,-36,29,4,-18,-2
UNP,Union Pacific Corporation,-10,-33,0,84,41,-10,-29,-8,2,-45,-4
MAA,Mid-America Apartment Communities,-20,27,0,-11,-4,-19,19,19,-19,0,-4
ATO,Atmos Energy,-19,-4,7,32,16,-22,-1,-1,1,-23,-7
AEP,American Electric Power,0,0,12,0,12,-11,-23,29,-14,-19,-7
EQIX,Equinix,2,0,0,3,5,1,-16,-10,12,-13,-8
SRE,Sempra Energy,1,1,10,32,44,-29,-17,4,-10,-52,-8
EBAY,eBay,-34,33,20,-1,18,-53,-1,25,2,-27,-9
TFC,Truist,2,1,1,-17,-13,-12,6,31,-21,4,-9
RMD,ResMed,-1,-11,12,-2,-2,16,-25,24,-24,-9,-11
T,AT&T,0,37,8,-54,-9,1,41,4,-48,-2,-11
AES,AES Corporation,0,-7,0,-2,-9,14,-16,10,-11,-3,-12
KIM,Kimco Realty,0,8,-5,0,3,-11,10,-15,1,-15,-12
GILD,Gilead Sciences,-6,0,-23,-1,-30,-1,13,-17,22,17,-13
PPL,PPL Corporation,-19,-10,13,3,-13,-12,-20,31,1,0,-13
CVX,Chevron Corporation,-17,-9,0,31,5,-25,-3,15,-5,-18,-13
VZ,Verizon,6,7,26,-29,10,9,6,-5,-34,-24,-14
